id,file,pack,description,source_sheet,grid_index,recommended_usage
neutral_standing,01_core_pose_pack/01_neutral_standing.png,01_core_pose_pack,Neutral standing front mascot,cheerful_seals_with_laundry_fun.png,1,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
waving,01_core_pose_pack/02_waving.png,01_core_pose_pack,Welcome / greeting mascot waving,cheerful_seals_with_laundry_fun.png,2,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
thumbs_up,01_core_pose_pack/03_thumbs_up.png,01_core_pose_pack,Positive confirmation mascot giving thumbs up,cheerful_seals_with_laundry_fun.png,3,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
holding_blank_board,01_core_pose_pack/04_holding_blank_board.png,01_core_pose_pack,Mascot holding blank vertical board/sign,cheerful_seals_with_laundry_fun.png,4,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
holding_folded_laundry,01_core_pose_pack/05_holding_folded_laundry.png,01_core_pose_pack,Mascot holding folded laundry stack,cheerful_seals_with_laundry_fun.png,5,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
holding_laundry_basket,01_core_pose_pack/06_holding_laundry_basket.png,01_core_pose_pack,Mascot holding laundry basket,cheerful_seals_with_laundry_fun.png,6,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
sitting_with_washing_machine,01_core_pose_pack/07_sitting_with_washing_machine.png,01_core_pose_pack,Mascot sitting beside washing machine,cheerful_seals_with_laundry_fun.png,7,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
pointing_right,01_core_pose_pack/08_pointing_right.png,01_core_pose_pack,Mascot pointing right,cheerful_seals_with_laundry_fun.png,8,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
happy,02_emotion_pack/01_happy.png,02_emotion_pack,Emotion: happy,cute_seal_mascot_sticker_sheet.png,1,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
excited,02_emotion_pack/02_excited.png,02_emotion_pack,Emotion: excited,cute_seal_mascot_sticker_sheet.png,2,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
